date,reg_nom,reg,tot_rea,tot_dchosp,tot_lits_rea,tot_pop,tot_hosp_7j,tx_rea,dchosp_100k
2021-07-11,Auvergne-Rhône-Alpes,84,72,11668,564,8032377,53,12.76595744680851,145.26210609885467
2021-07-11,Bourgogne-Franche-Comté,27,26,4842,194,2783039,29,13.402061855670103,173.9824702420627
2021-07-11,Bretagne,53,20,1658,162,3340379,12,12.345679012345679,49.63508631804954
2021-07-11,Centre-Val de Loire,24,29,2781,188,2559073,20,15.425531914893616,108.67216370928065
2021-07-11,Corse,94,2,206,18,344679,1,11.11111111111111,59.76575306299484
2021-07-11,Grand Est,44,51,10218,465,5511747,26,10.967741935483872,185.3858676749858
2021-07-11,Hauts-de-France,32,143,9272,452,5962662,90,31.63716814159292,155.5010161568776
2021-07-11,Île-de-France,11,274,20594,1121,12278210,218,24.442462087421944,167.7280320176964
2021-07-11,Normandie,28,42,3383,240,3303500,36,17.5,102.40653851975178
2021-07-11,Nouvelle-Aquitaine,75,41,3867,424,5999982,33,9.669811320754718,64.45019335058005
2021-07-11,Occitanie,76,45,4603,466,5924858,28,9.656652360515022,77.68962564166095
2021-07-11,Pays de la Loire,52,18,2734,179,3801797,21,10.05586592178771,71.91336097114075
2021-07-11,Provence-Alpes-Côte d'Azur,93,98,8066,469,5055651,77,20.8955223880597,159.54424069224714
