date,iso_code,new_cases_smoothed_per_million
2021-07-04,ALB,1.142
2021-07-04,AUT,7.55
2021-07-04,BLR,90.876
2021-07-04,BEL,49.7
2021-07-04,BIH,4.441
2021-07-04,BGR,10.341
2021-07-04,HRV,20.357
2021-07-04,CYP,520.75
2021-07-04,CZE,13.94
2021-07-04,DNK,58.774
2021-07-04,EST,23.692
2021-07-04,FIN,35.555
2021-07-04,FRA,34.251
2021-07-04,DEU,6.788
2021-07-04,GRC,69.338
2021-07-04,HUN,4.244
2021-07-04,ISL,0.0
2021-07-04,IRL,88.125
2021-07-04,ITA,12.4
2021-07-04,LVA,31.886
2021-07-04,LTU,11.23
2021-07-04,LUX,98.361
2021-07-04,MDA,14.555
2021-07-04,MNE,31.162
2021-07-04,NLD,49.165
2021-07-04,MKD,2.537
2021-07-04,NOR,35.864
2021-07-04,POL,2.386
2021-07-04,PRT,203.721
2021-07-04,ROU,2.384
2021-07-04,RUS,153.418
2021-07-04,SRB,12.009
2021-07-04,SVK,4.344
2021-07-04,SVN,12.438
2021-07-04,ESP,157.066
2021-07-04,SWE,28.064
2021-07-04,CHE,13.651
2021-07-04,UKR,21.265
2021-07-04,GBR,360.95
