jour,reg,n_tot_dose1,couv_tot_dose1
2021-07-08,01,63747,16.9
2021-07-08,02,59240,16.5
2021-07-08,03,51799,17.8
2021-07-08,04,256360,29.8
2021-07-08,06,51517,18.4
2021-07-08,11,6332296,51.6
2021-07-08,24,1401805,54.8
2021-07-08,27,1499103,53.9
2021-07-08,28,1915238,58
2021-07-08,32,3128935,52.5
2021-07-08,44,2957485,53.7
2021-07-08,52,2137666,56.2
2021-07-08,53,1977397,59.2
2021-07-08,75,3473889,57.9
2021-07-08,76,3131406,52.9
2021-07-08,84,4192305,52.2
2021-07-08,93,2528235,50
2021-07-08,94,168269,48.8
